[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 0 | Fingerprint : 602fffff58ffffff69ffffffffff4924 | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read.c
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read.c
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/group_read.c
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/other_read.c
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_write.c
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/group_write.c
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/other_write.c
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_execute
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/group_execute
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/other_execute
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/group_read_write.c
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/other_read_write.c
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_execute
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/group_read_execute
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/other_read_execute
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_write_execute
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/group_write_execute
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/other_write_execute
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read.c
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/group_read.c
[12:13:49] 21/11/2023 | UID :  1000 | Action :   OPEN | Denied : 1 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/other_read.c
